Note: This data does not necessarily correspond to the one uploaded in BBVA Research web,,
,,
item_id,timestamp,target
Consumo_BD,25/05/2017,"1667,14"
Consumo_BD,26/05/2017,"1718,91"
Consumo_BD,27/05/2017,"1500,7"
Consumo_BD,28/05/2017,"1049,81"
Consumo_BD,29/05/2017,"1669,42"
Consumo_BD,30/05/2017,"1650,44"
Consumo_BD,31/05/2017,"1536,43"
Consumo_BD,1/06/2017,"1653,78"
Consumo_BD,2/06/2017,"1675,79"
Consumo_BD,3/06/2017,"1461,53"
Consumo_BD,4/06/2017,"1026,52"
Consumo_BD,5/06/2017,"1573,78"
Consumo_BD,6/06/2017,"1524,75"
Consumo_BD,7/06/2017,"1475,75"
Consumo_BD,8/06/2017,"1477,92"
Consumo_BD,9/06/2017,"2090,89"
Consumo_BD,10/06/2017,"1609,03"
Consumo_BD,11/06/2017,"1063,21"
Consumo_BD,12/06/2017,"1646,14"
Consumo_BD,13/06/2017,"1558,05"
Consumo_BD,14/06/2017,"1567,06"
Consumo_BD,15/06/2017,"1572,86"
Consumo_BD,16/06/2017,"1704,46"
Consumo_BD,17/06/2017,"1522,32"
Consumo_BD,18/06/2017,"1061,57"
Consumo_BD,19/06/2017,"1589,2"
Consumo_BD,20/06/2017,"1573,63"
Consumo_BD,21/06/2017,"1558,12"
Consumo_BD,22/06/2017,"1591,54"
Consumo_BD,23/06/2017,"1727,43"
Consumo_BD,24/06/2017,"1386,62"
Consumo_BD,25/06/2017,"1142,3"
Consumo_BD,26/06/2017,"1859,84"
Consumo_BD,27/06/2017,"1720,16"
Consumo_BD,28/06/2017,"1802,23"
Consumo_BD,29/06/2017,"1881,84"
Consumo_BD,30/06/2017,"2112,18"
Consumo_BD,1/07/2017,"1762,84"
Consumo_BD,2/07/2017,"1216,62"
Consumo_BD,3/07/2017,"1819,37"
Consumo_BD,4/07/2017,"1573,89"
Consumo_BD,5/07/2017,"1848,59"
Consumo_BD,6/07/2017,"1739,73"
Consumo_BD,7/07/2017,"1734,67"
Consumo_BD,8/07/2017,"1603,65"
Consumo_BD,9/07/2017,"1131,72"
Consumo_BD,10/07/2017,"1809,66"
Consumo_BD,11/07/2017,"1716,56"
Consumo_BD,12/07/2017,"1684,95"
Consumo_BD,13/07/2017,"1678,57"
Consumo_BD,14/07/2017,"1795,56"
Consumo_BD,15/07/2017,"1560,87"
Consumo_BD,16/07/2017,"1118,38"
Consumo_BD,17/07/2017,"1703,76"
Consumo_BD,18/07/2017,"1636,27"
Consumo_BD,19/07/2017,"1642,43"
Consumo_BD,20/07/2017,"1665,07"
Consumo_BD,21/07/2017,"1740,95"
Consumo_BD,22/07/2017,1422
Consumo_BD,23/07/2017,"1079,74"
Consumo_BD,24/07/2017,"1668,17"
Consumo_BD,25/07/2017,"1685,44"
Consumo_BD,26/07/2017,"1529,83"
Consumo_BD,27/07/2017,"1589,22"
Consumo_BD,28/07/2017,"1728,15"
Consumo_BD,29/07/2017,"1571,44"
Consumo_BD,30/07/2017,"1119,03"
Consumo_BD,31/07/2017,"1912,62"
Consumo_BD,1/08/2017,"1901,04"
Consumo_BD,2/08/2017,"1770,01"
Consumo_BD,3/08/2017,"1729,47"
Consumo_BD,4/08/2017,"1796,99"
Consumo_BD,5/08/2017,"1538,42"
Consumo_BD,6/08/2017,"1130,3"
Consumo_BD,7/08/2017,"1734,88"
Consumo_BD,8/08/2017,"1626,02"
Consumo_BD,9/08/2017,"1602,09"
Consumo_BD,10/08/2017,"1679,94"
Consumo_BD,11/08/2017,"1700,79"
Consumo_BD,12/08/2017,"1474,84"
Consumo_BD,13/08/2017,"1090,68"
Consumo_BD,14/08/2017,"1652,52"
Consumo_BD,15/08/2017,"1146,76"
Consumo_BD,16/08/2017,"1577,23"
Consumo_BD,17/08/2017,"1513,94"
Consumo_BD,18/08/2017,"1559,51"
Consumo_BD,19/08/2017,"1401,28"
Consumo_BD,20/08/2017,"1068,71"
Consumo_BD,21/08/2017,"1527,58"
Consumo_BD,22/08/2017,"1453,45"
Consumo_BD,23/08/2017,"1455,77"
Consumo_BD,24/08/2017,"1464,69"
Consumo_BD,25/08/2017,"1706,33"
Consumo_BD,26/08/2017,"1433,22"
Consumo_BD,27/08/2017,"1063,49"
Consumo_BD,28/08/2017,"1602,01"
Consumo_BD,29/08/2017,"1598,48"
Consumo_BD,30/08/2017,"1666,38"
Consumo_BD,31/08/2017,"1765,82"
Consumo_BD,1/09/2017,"1891,42"
Consumo_BD,2/09/2017,"1590,99"
Consumo_BD,3/09/2017,"1154,98"
Consumo_BD,4/09/2017,"1799,06"
Consumo_BD,5/09/2017,"1747,05"
Consumo_BD,6/09/2017,"1693,17"
Consumo_BD,7/09/2017,"1683,17"
Consumo_BD,8/09/2017,"1660,42"
Consumo_BD,9/09/2017,"1551,85"
Consumo_BD,10/09/2017,"1135,73"
Consumo_BD,11/09/2017,"1615,03"
Consumo_BD,12/09/2017,"1600,07"
Consumo_BD,13/09/2017,"1582,78"
Consumo_BD,14/09/2017,"1575,89"
Consumo_BD,15/09/2017,"1665,51"
Consumo_BD,16/09/2017,"1553,73"
Consumo_BD,17/09/2017,"1082,87"
Consumo_BD,18/09/2017,"1560,46"
Consumo_BD,19/09/2017,"1527,43"
Consumo_BD,20/09/2017,"1505,89"
Consumo_BD,21/09/2017,"1513,72"
Consumo_BD,22/09/2017,"1647,65"
Consumo_BD,23/09/2017,"1508,34"
Consumo_BD,24/09/2017,"1079,16"
Consumo_BD,25/09/2017,"1672,49"
Consumo_BD,26/09/2017,"1591,53"
Consumo_BD,27/09/2017,"1585,13"
Consumo_BD,28/09/2017,"1732,41"
Consumo_BD,29/09/2017,"1925,8"
Consumo_BD,30/09/2017,"1679,69"
Consumo_BD,1/10/2017,"1104,2"
Consumo_BD,2/10/2017,"1828,75"
Consumo_BD,3/10/2017,"1645,21"
Consumo_BD,4/10/2017,"1684,52"
Consumo_BD,5/10/2017,"1751,02"
Consumo_BD,6/10/2017,"1826,07"
Consumo_BD,7/10/2017,"1624,76"
Consumo_BD,8/10/2017,"1118,3"
Consumo_BD,9/10/2017,"1584,53"
Consumo_BD,10/10/2017,"1711,05"
Consumo_BD,11/10/2017,"1725,66"
Consumo_BD,12/10/2017,"1200,9"
Consumo_BD,13/10/2017,"1729,51"
Consumo_BD,14/10/2017,"1494,24"
Consumo_BD,15/10/2017,"1087,11"
Consumo_BD,16/10/2017,"1532,36"
Consumo_BD,17/10/2017,"1476,49"
Consumo_BD,18/10/2017,"1436,74"
Consumo_BD,19/10/2017,"1495,64"
Consumo_BD,20/10/2017,"1683,44"
Consumo_BD,21/10/2017,"1512,48"
Consumo_BD,22/10/2017,"1060,14"
Consumo_BD,23/10/2017,"1484,62"
Consumo_BD,24/10/2017,"1439,76"
Consumo_BD,25/10/2017,"1635,81"
Consumo_BD,26/10/2017,"1594,37"
Consumo_BD,27/10/2017,"1774,47"
Consumo_BD,28/10/2017,"1621,03"
Consumo_BD,29/10/2017,"1138,97"
Consumo_BD,30/10/2017,"1753,78"
Consumo_BD,31/10/2017,"1837,32"
Consumo_BD,1/11/2017,"1289,9"
Consumo_BD,2/11/2017,"1824,82"
Consumo_BD,3/11/2017,1892
Consumo_BD,4/11/2017,"1647,92"
Consumo_BD,5/11/2017,"1120,45"
Consumo_BD,6/11/2017,"1736,06"
